"","ENSEMBL","SYMBOL","Length"
"1","ENSG00000000003","TSPAN6",4535
"3","ENSG00000000419","DPM1",1207
"4","ENSG00000000457","SCYL3",6883
"5","ENSG00000000460","C1orf112",5967
"6","ENSG00000000938","FGR",3474
"7","ENSG00000000971","CFH",8145
"8","ENSG00000001036","FUCA2",2793
"9","ENSG00000001084","GCLC",8463
"10","ENSG00000001167","NFYA",3811
"11","ENSG00000001460","STPG1",8511
"12","ENSG00000001461","NIPAL3",9404
"13","ENSG00000001497","LAS1L",5589
"14","ENSG00000001561","ENPP4",4651
"17","ENSG00000001629","ANKIB1",7130
"18","ENSG00000001630","CYP51A1",4074
"19","ENSG00000001631","KRIT1",6204
"20","ENSG00000002016","RAD52",4190
"21","ENSG00000002330","BAD",1708
"22","ENSG00000002549","LAP3",3785
"24","ENSG00000002587","HS3ST1",8166
"26","ENSG00000002745","WNT16",3261
"28","ENSG00000002822","MAD1L1",7230
"29","ENSG00000002834","LASP1",7061
"30","ENSG00000002919","SNX11",3606
"31","ENSG00000002933","TMEM176A",3479
"32","ENSG00000003056","M6PR",3777
"33","ENSG00000003096","KLHL13",6983
"35","ENSG00000003147","ICA1",4891
"36","ENSG00000003249","DBNDD1",4791
"37","ENSG00000003393","ALS2",10384
"38","ENSG00000003400","CASP10",7598
"39","ENSG00000003402","CFLAR",22529
"40","ENSG00000003436","TFPI",11714
"41","ENSG00000003509","NDUFAF7",3651
"42","ENSG00000003756","RBM5",10368
"43","ENSG00000003987","MTMR7",5692
"45","ENSG00000004059","ARF5",1871
"46","ENSG00000004139","SARM1",11137
"47","ENSG00000004142","POLDIP2",2121
"48","ENSG00000004399","PLXND1",9738
"49","ENSG00000004455","AK2",5727
"50","ENSG00000004468","CD38",6855
"51","ENSG00000004478","FKBP4",5180
"52","ENSG00000004487","KDM1A",5435
"53","ENSG00000004534","RBM6",7302
"54","ENSG00000004660","CAMKK1",7424
"55","ENSG00000004700","RECQL",3778
"56","ENSG00000004766","VPS50",9454
"58","ENSG00000004777","ARHGAP33",5260
"59","ENSG00000004779","NDUFAB1",1600
"60","ENSG00000004799","PDK4",4519
"61","ENSG00000004809","SLC22A16",3907
"62","ENSG00000004838","ZMYND10",4009
"65","ENSG00000004864","SLC25A13",3710
"66","ENSG00000004866","ST7",6742
"67","ENSG00000004866","ST7-OT3",6742
"68","ENSG00000004897","CDC27",6824
"69","ENSG00000004939","SLC4A1",5287
"71","ENSG00000004961","HCCS",2335
"72","ENSG00000004975","DVL2",5350
"73","ENSG00000005001","PRSS22",2387
"74","ENSG00000005007","UPF1",8600
"75","ENSG00000005020","SKAP2",5520
"76","ENSG00000005022","SLC25A5",1500
"77","ENSG00000005059","MCUB",3566
"79","ENSG00000005075","POLR2J",1355
"80","ENSG00000005100","DHX33",5872
"81","ENSG00000005102","MEOX1",2707
"82","ENSG00000005108","THSD7A",10929
"83","ENSG00000005156","LIG3",12919
"84","ENSG00000005175","RPAP3",5381
"85","ENSG00000005187","ACSM3",7822
"86","ENSG00000005189","REXO5",4114
"87","ENSG00000005194","CIAPIN1",3509
"88","ENSG00000005206","SPPL2B",7130
"89","ENSG00000005238","FAM214B",6409
"90","ENSG00000005243","COPZ2",1851
"91","ENSG00000005249","PRKAR2B",4318
"92","ENSG00000005302","MSL3",6496
"93","ENSG00000005339","CREBBP",15068
"94","ENSG00000005379","TSPOAP1",11354
"95","ENSG00000005381","MPO",3526
"97","ENSG00000005436","GCFC2",5465
"98","ENSG00000005448","WDR54",2860
"99","ENSG00000005469","CROT",4979
"100","ENSG00000005471","ABCB4",7494
"101","ENSG00000005483","KMT2E",9233
"102","ENSG00000005486","RHBDD2",2441
"103","ENSG00000005513","SOX8",4432
"104","ENSG00000005700","IBTK",8722
"105","ENSG00000005801","ZNF195",5709
"106","ENSG00000005810","MYCBP2",15945
"107","ENSG00000005812","FBXL3",7082
"108","ENSG00000005844","ITGAL",6472
"109","ENSG00000005882","PDK2",5481
"110","ENSG00000005884","ITGA3",9802
"111","ENSG00000005889","ZFX",9037
"112","ENSG00000005893","LAMP2",5526
"113","ENSG00000005961","ITGA2B",5551
"115","ENSG00000006007","GDE1",4416
"116","ENSG00000006015","REX1BD",3370
"117","ENSG00000006016","CRLF1",3018
"118","ENSG00000006025","OSBPL7",6572
"122","ENSG00000006062","MAP3K14",5852
